time,xaxis,yaxis,zaxis,State
1.997197,0.12,-0.01,-0.01,
1.998787,0.13,-0.02,-0.01,
2.001347,0.15,-0.01,-0.01,
2.0047,0.16,-0.01,0,
2.006433,0.16,-0.02,0,
2.009692,0.16,-0.01,0,
2.012106,0.16,-0.01,0,
2.014907,0.16,-0.02,0,
2.01698,0.15,-0.03,0.01,
2.019052,0.14,-0.03,0.01,
2.021576,0.13,-0.03,0.01,
2.02461,0.12,-0.03,0.02,
2.027268,0.11,-0.02,0.02,
2.029835,0.1,-0.02,0.02,
2.032307,0.09,-0.02,0.02,
2.035336,0.08,-0.01,0.02,
2.037426,0.07,-0.01,0.01,
2.039342,0.05,-0.01,0.01,
2.041825,0.05,0,0.01,
2.044849,0.03,0,0.01,
2.046938,0.02,0,0,
2.050009,0.01,0.01,0.01,
2.052612,0,0.01,0,
2.055365,-0.01,0.02,0,
2.057203,-0.02,0.03,0,
2.059626,-0.02,0.04,0,
2.062091,-0.02,0.04,0,
2.065283,-0.02,0.05,-0.01,
2.069607,-0.02,0.06,0,
2.070332,-0.02,0.06,0,
2.072956,-0.02,0.06,0,
2.075568,-0.02,0.05,0.01,
2.077429,-0.02,0.05,0.02,
2.079744,-0.02,0.04,0.03,
2.082245,-0.02,0.04,0.05,
2.085579,-0.02,0.04,0.06,
2.088308,-0.02,0.03,0.06,
2.090598,-0.02,0.03,0.07,
2.093502,-0.02,0.03,0.07,
2.095088,-0.03,0.01,0.07,
2.097416,-0.03,0,0.07,
2.100204,-0.03,-0.02,0.07,
2.102544,-0.03,-0.02,0.07,
2.105271,-0.04,-0.02,0.07,
2.108216,-0.05,-0.03,0.07,
2.110725,-0.06,-0.03,0.07,
2.113266,-0.07,-0.02,0.07,
2.116001,-0.07,-0.03,0.06,
2.117879,-0.07,-0.03,0.06,
2.120275,-0.07,-0.04,0.05,
2.122776,-0.06,-0.04,0.04,
2.125514,-0.05,-0.04,0.04,
2.128626,-0.04,-0.04,0.03,
2.131121,-0.03,-0.04,0.03,
2.133574,-0.02,-0.04,0.02,
2.13626,-0.01,-0.03,0.01,
2.138015,0,-0.02,0,
2.140548,0,-0.02,-0.01,
2.14306,0,-0.02,-0.01,
2.145962,0,-0.03,-0.02,
2.148673,-0.01,-0.04,-0.03,
2.151237,-0.01,-0.05,-0.03,
2.153877,-0.01,-0.06,-0.04,
2.15658,-0.02,-0.07,-0.05,
2.15819,-0.02,-0.08,-0.05,
2.160713,-0.03,-0.08,-0.06,
2.163608,-0.04,-0.09,-0.06,
2.166276,-0.04,-0.09,-0.07,
2.168982,-0.06,-0.09,-0.07,
2.171614,-0.08,-0.09,-0.07,
